taenia	tenia
teetotaller	teetotaler
telecomputer	Tele-Computer
tessellate	tesselate
tessellation	tesselation
thalassaemia	thalassemia
theatre	theater
thermionic valve	thermionic tube
thiosulphate	thiosulfate
tiddlywink	tiddledywink
titre	titer
towelling	toweling
toxaemia	toxemia
travelled	traveled
traveller	traveler
travelling	traveling
tricolour	tricolor
tularaemia	tularemia
tumour	tumor
tyre	tire
unanalysable	unanalyzable
unanalysed	unanalyzed
uncatalogued	uncataloged
uncoloured	uncolored
unequalled	unequaled
unfavourable	unfavorable
unfavourite	unfavorite
unflavoured	unflavored
unlabelled	unlabeled
unlaboured	unlabored
unlikeable	unlikable
unploughed	unplowed
unpractised	unpracticed
unrivalled	unrivaled
unsavoury	unsavory
unskilful	unskillful
untrammelled	untrammeled
untravelled	untraveled
updraught	updraft
uraemia	uremia
valour	valor
vapour	vapor
vapourware	vaporware
varicoloured	varicolored
vendor	vender
versicoloured	versicolored
vice	vise
victualler	victualer
vigour	vigor
watercolour	watercolor
Whit Sunday	Whitsunday
whodunnit	whodunit
wilful	willful
woollen	woolen
woolly	wooly
